,dt_reference,id_city_origin,id_city_destination,freight_cost,distance
92,01/04/2022,5102637.0,4118204.0,457.0,2194.56
93,08/04/2022,5102637.0,4118204.0,474.0,2194.56
94,22/04/2022,5102637.0,4118204.0,459.0,2194.56
95,29/04/2022,5102637.0,4118204.0,464.0,2194.56
96,27/05/2022,5102637.0,4118204.0,480.0,2194.56
97,10/06/2022,5102637.0,4118204.0,530.0,2194.56
98,24/06/2022,5102637.0,4118204.0,500.0,2194.56
99,01/07/2022,5102637.0,4118204.0,550.0,2194.56
100,12/08/2022,5102637.0,4118204.0,490.0,2194.56
101,19/08/2022,5102637.0,4118204.0,440.0,2194.56
102,26/08/2022,5102637.0,4118204.0,435.0,2194.56
103,09/09/2022,5102637.0,4118204.0,400.0,2194.56
104,23/09/2022,5102637.0,4118204.0,445.0,2194.56
105,21/10/2022,5102637.0,4118204.0,380.0,2194.56
106,16/12/2022,5102637.0,4118204.0,450.0,2194.56
107,10/02/2023,5102637.0,4118204.0,483.0,2194.56
108,17/02/2023,5102637.0,4118204.0,520.0,2194.56
109,19/05/2023,5102637.0,4118204.0,458.0,2194.56
110,26/05/2023,5102637.0,4118204.0,470.0,2194.56
111,23/06/2023,5102637.0,4118204.0,482.0,2194.56
112,30/06/2023,5102637.0,4118204.0,499.0,2194.56
113,14/07/2023,5102637.0,4118204.0,522.0,2194.56
114,21/07/2023,5102637.0,4118204.0,506.0,2194.56
115,28/07/2023,5102637.0,4118204.0,510.0,2194.56
116,15/09/2023,5102637.0,4118204.0,496.5,2194.56
117,22/09/2023,5102637.0,4118204.0,515.0,2194.56
118,29/09/2023,5102637.0,4118204.0,534.0,2194.56
119,06/10/2023,5102637.0,4118204.0,549.0,2194.56
120,13/10/2023,5102637.0,4118204.0,525.0,2194.56
121,27/10/2023,5102637.0,4118204.0,527.25,2194.56
122,03/11/2023,5102637.0,4118204.0,509.5,2194.56
123,16/02/2024,5102637.0,4118204.0,425.0,2194.56
124,23/02/2024,5102637.0,4118204.0,427.5,2194.56
125,08/03/2024,5102637.0,4118204.0,422.5,2194.56
126,22/03/2024,5102637.0,4118204.0,360.0,2194.56
127,28/03/2024,5102637.0,4118204.0,355.0,2194.56
128,19/04/2024,5102637.0,4118204.0,415.0,2194.56
129,10/05/2024,5102637.0,4118204.0,407.5,2194.56
130,17/05/2024,5102637.0,4118204.0,465.0,2194.56
131,24/05/2024,5102637.0,4118204.0,475.0,2194.56
132,14/06/2024,5102637.0,4118204.0,455.0,2194.56
133,28/06/2024,5102637.0,4118204.0,446.5,2194.56
134,14/01/2022,5103403.0,4118204.0,350.0,1794.22
135,28/01/2022,5103403.0,4118204.0,320.0,1794.22
136,04/02/2022,5103403.0,4118204.0,330.0,1794.22
137,11/02/2022,5103403.0,4118204.0,340.0,1794.22
138,18/03/2022,5103403.0,4118204.0,310.0,1794.22
139,01/04/2022,5103403.0,4118204.0,400.0,1794.22
140,22/04/2022,5103403.0,4118204.0,360.0,1794.22
141,13/05/2022,5103403.0,4118204.0,380.0,1794.22
142,10/06/2022,5103403.0,4118204.0,385.0,1794.22
143,17/06/2022,5103403.0,4118204.0,390.0,1794.22
144,24/06/2022,5103403.0,4118204.0,420.0,1794.22
145,01/07/2022,5103403.0,4118204.0,430.0,1794.22
146,15/07/2022,5103403.0,4118204.0,460.0,1794.22
147,12/08/2022,5103403.0,4118204.0,410.0,1794.22
148,09/09/2022,5103403.0,4118204.0,370.0,1794.22
149,31/03/2023,5103403.0,4118204.0,415.0,1794.22
150,26/05/2023,5103403.0,4118204.0,404.0,1794.22
151,02/06/2023,5103403.0,4118204.0,399.0,1794.22
152,23/06/2023,5103403.0,4118204.0,392.5,1794.22
153,07/07/2023,5103403.0,4118204.0,426.25,1794.22
154,14/07/2023,5103403.0,4118204.0,444.0,1794.22
155,21/07/2023,5103403.0,4118204.0,445.0,1794.22
156,04/08/2023,5103403.0,4118204.0,450.0,1794.22
157,22/09/2023,5103403.0,4118204.0,435.0,1794.22
158,10/11/2023,5103403.0,4118204.0,440.0,1794.22
159,26/01/2024,5103403.0,4118204.0,405.0,1794.22
160,16/02/2024,5103403.0,4118204.0,345.0,1794.22
161,15/03/2024,5103403.0,4118204.0,365.0,1794.22
162,07/06/2024,5103403.0,4118204.0,395.0,1794.22
163,07/01/2022,5107040.0,4118204.0,290.0,1710.2
164,14/01/2022,5107040.0,4118204.0,280.0,1710.2
165,28/01/2022,5107040.0,4118204.0,300.0,1710.2
166,11/02/2022,5107040.0,4118204.0,315.0,1710.2
167,18/02/2022,5107040.0,4118204.0,302.5,1710.2
168,25/02/2022,5107040.0,4118204.0,306.25,1710.2
169,04/03/2022,5107040.0,4118204.0,310.0,1710.2
170,11/03/2022,5107040.0,4118204.0,312.5,1710.2
171,25/03/2022,5107040.0,4118204.0,325.0,1710.2
172,01/04/2022,5107040.0,4118204.0,370.0,1710.2
173,08/04/2022,5107040.0,4118204.0,365.0,1710.2
174,22/04/2022,5107040.0,4118204.0,360.0,1710.2
175,29/04/2022,5107040.0,4118204.0,375.0,1710.2
176,13/05/2022,5107040.0,4118204.0,390.0,1710.2
177,03/06/2022,5107040.0,4118204.0,380.0,1710.2
178,10/06/2022,5107040.0,4118204.0,397.5,1710.2
179,17/06/2022,5107040.0,4118204.0,397.0,1710.2
180,24/06/2022,5107040.0,4118204.0,420.0,1710.2
181,01/07/2022,5107040.0,4118204.0,395.0,1710.2
182,08/07/2022,5107040.0,4118204.0,420.75,1710.2
183,15/07/2022,5107040.0,4118204.0,410.0,1710.2
184,22/07/2022,5107040.0,4118204.0,417.67,1710.2
185,29/07/2022,5107040.0,4118204.0,469.0,1710.2
186,02/09/2022,5107040.0,4118204.0,356.67,1710.2
187,09/09/2022,5107040.0,4118204.0,340.0,1710.2
188,23/09/2022,5107040.0,4118204.0,350.0,1710.2
189,30/09/2022,5107040.0,4118204.0,345.0,1710.2
190,07/10/2022,5107040.0,4118204.0,335.0,1710.2
191,14/10/2022,5107040.0,4118204.0,320.0,1710.2
192,21/10/2022,5107040.0,4118204.0,307.5,1710.2
193,04/11/2022,5107040.0,4118204.0,292.5,1710.2
194,18/11/2022,5107040.0,4118204.0,305.0,1710.2
195,09/12/2022,5107040.0,4118204.0,327.0,1710.2
196,23/12/2022,5107040.0,4118204.0,400.0,1710.2
197,13/01/2023,5107040.0,4118204.0,385.0,1710.2
198,27/01/2023,5107040.0,4118204.0,367.67,1710.2
199,03/02/2023,5107040.0,4118204.0,396.6,1710.2
200,10/02/2023,5107040.0,4118204.0,415.0,1710.2
201,03/03/2023,5107040.0,4118204.0,347.5,1710.2
202,14/04/2023,5107040.0,4118204.0,377.5,1710.2
203,12/05/2023,5107040.0,4118204.0,348.0,1710.2
204,19/05/2023,5107040.0,4118204.0,381.25,1710.2
205,26/05/2023,5107040.0,4118204.0,393.33,1710.2
206,23/06/2023,5107040.0,4118204.0,376.0,1710.2
207,30/06/2023,5107040.0,4118204.0,388.25,1710.2
208,07/07/2023,5107040.0,4118204.0,426.0,1710.2
209,14/07/2023,5107040.0,4118204.0,435.0,1710.2
210,28/07/2023,5107040.0,4118204.0,440.0,1710.2
211,15/09/2023,5107040.0,4118204.0,411.0,1710.2
212,22/09/2023,5107040.0,4118204.0,417.0,1710.2
213,06/10/2023,5107040.0,4118204.0,405.0,1710.2
214,20/10/2023,5107040.0,4118204.0,382.0,1710.2
215,27/10/2023,5107040.0,4118204.0,387.5,1710.2
216,24/11/2023,5107040.0,4118204.0,378.0,1710.2
217,08/12/2023,5107040.0,4118204.0,373.0,1710.2
218,26/01/2024,5107040.0,4118204.0,351.0,1710.2
219,02/02/2024,5107040.0,4118204.0,346.0,1710.2
220,16/02/2024,5107040.0,4118204.0,384.0,1710.2
221,23/02/2024,5107040.0,4118204.0,389.0,1710.2
222,01/03/2024,5107040.0,4118204.0,342.0,1710.2
223,08/03/2024,5107040.0,4118204.0,346.67,1710.2
224,15/03/2024,5107040.0,4118204.0,337.5,1710.2
225,22/03/2024,5107040.0,4118204.0,333.0,1710.2
226,28/03/2024,5107040.0,4118204.0,337.0,1710.2
227,05/04/2024,5107040.0,4118204.0,330.0,1710.2
228,26/04/2024,5107040.0,4118204.0,333.25,1710.2
229,03/05/2024,5107040.0,4118204.0,343.33,1710.2
230,17/05/2024,5107040.0,4118204.0,376.67,1710.2
231,07/06/2024,5107040.0,4118204.0,373.3,1710.2
232,14/06/2024,5107040.0,4118204.0,376.7,1710.2
233,21/06/2024,5107040.0,4118204.0,396.7,1710.2
234,07/01/2022,5107875.0,4118204.0,380.0,2364.51
235,21/01/2022,5107875.0,4118204.0,395.0,2364.51
236,28/01/2022,5107875.0,4118204.0,440.0,2364.51
237,11/02/2022,5107875.0,4118204.0,430.0,2364.51
238,25/02/2022,5107875.0,4118204.0,420.0,2364.51
239,11/03/2022,5107875.0,4118204.0,400.0,2364.51
240,25/03/2022,5107875.0,4118204.0,480.0,2364.51
241,01/04/2022,5107875.0,4118204.0,510.0,2364.51
242,15/04/2022,5107875.0,4118204.0,484.0,2364.51
243,22/04/2022,5107875.0,4118204.0,469.0,2364.51
244,29/04/2022,5107875.0,4118204.0,474.0,2364.51
245,27/05/2022,5107875.0,4118204.0,490.0,2364.51
246,10/06/2022,5107875.0,4118204.0,540.0,2364.51
247,08/07/2022,5107875.0,4118204.0,560.0,2364.51
